ports,MC,degree,eigenvector,betweenness,ISO3
521,4616.166667,26,0.012224394,9.21571E-05,ITA
522,4649.333333,27,0.013501234,7.85376E-05,ITA
523,0,9,0.002720349,0,HRV
524,817.6666667,10,0.004862873,8.25059E-05,GEO
525,1294.833333,14,0.008166617,4.11205E-05,BGR
526,0,4,0.000968679,0,PRT
527,0,4,0.000968679,0,PRT
528,0,4,0.000968679,0,PRT
529,0,2,0.000944387,0,PRT
530,732.3333333,14,0.003228346,6.15717E-05,STP
531,515,11,0.005071872,7.45519E-06,AGO
532,1587.166667,15,0.006378356,7.90671E-05,AGO
533,0,3,0.001459933,0,PRT
534,0,7,0.005071037,0,CYP
535,341.5,10,0.006534735,4.90888E-06,TUR
536,89.66666667,7,0.003781392,1.25955E-06,SYR
537,0,3,0.002021955,0,GRC
538,0,2,0.00125372,0,GRC
539,0,2,0.000623671,0,MEX
540,0,4,0.001434422,0,HND
541,0,2,0.000623671,0,MEX
542,8455.666667,23,0.01745728,0.000105333,GUM
543,0,2,0.000452158,0,MEX
544,0,3,0.001164023,0,USA
545,0,3,0.001896537,0,TUR
546,213.3333333,6,0.002151828,1.88636E-05,TUR
547,0,1,0.000949733,0,RUS
548,0,1,1.59322E-05,0,USA
549,0,1,1.59322E-05,0,USA
550,48.66666667,9,0.000312799,3.60887E-06,ISL
551,48.66666667,9,0.000312799,3.60887E-06,ISL
552,0,8,0.000257298,0,ISL
553,48.66666667,9,0.000312799,3.60887E-06,ISL
554,0,8,0.000257298,0,FRO
555,0,8,0.000257298,0,GBR
556,320,14,0.00011745,0.007268913,GRL
557,320,14,0.00011745,0.007268913,GRL
558,320,14,0.00011745,0.007268913,GRL
559,0,9,0.002782931,0,SWE
560,406.3333333,10,0.001778057,0.00016832,COD
561,406.3333333,10,0.001778057,0.00016832,COD
562,0,3,0.000262457,0,COD
563,0,3,0.001596588,0,PAN
564,0,13,0.001429325,0,DNK
565,661.3333333,18,0.001578514,8.5716E-05,NOR
566,661.3333333,18,0.001578514,8.5716E-05,NOR
567,0,1,7.32459E-05,0,BEL
568,0,12,4.98028E-06,0,GRL
569,0,12,4.98028E-06,0,GRL
570,0,12,4.98028E-06,0,GRL
571,0,12,4.98028E-06,0,GRL
572,0,12,4.98028E-06,0,GRL
573,0,12,4.98028E-06,0,GRL
574,0,12,4.98028E-06,0,GRL
575,0,12,4.98028E-06,0,GRL
576,0,12,4.98028E-06,0,GRL
577,0,12,4.98028E-06,0,GRL
