ISO3,R1_MLL,R2_MLL,R1,R2,R1_improve_rate,R2_improve_rate,number of domestic ports,number of international links
ABW,0.416767365,0.962724062,0.386070562,0.38657947,0.079510861,1.490365207,1,24
ZAF,1.682094818,4.828802661,0.853148842,3.878054324,0.971631133,0.24516117,5,207
FRA,4.227009923,9.937286034,3.081905182,8.297617877,0.371557421,0.197607094,12,425
BRN,0.47468688,0.937142384,0.297090408,0.297565121,0.59778595,2.149369056,1,19
LCA,0.609199559,1.922689503,0.539568908,0.771409945,0.129048672,1.492435462,2,68
SVN,0.241124587,0.940725166,0.241467475,0.369688742,0,1.544641096,1,41
IRQ,2.728509372,3.883827243,1.544796031,2.858019934,0.766258663,0.358922377,4,37
PNG,4.151422271,9.699063545,3.210546858,4.981661093,0.29305768,0.94695371,10,136
QAT,1.285509372,2.88349115,0.881319735,1.37369469,0.458618615,1.099077161,3,65
LKA,0.04244763,0.933149007,0.04244763,0.413378587,0,1.257371417,1,110
ITA,5.111079383,17.61626997,4.277237045,13.47916535,0.194948825,0.306925875,18,719
GTM,0.474421169,1.58998453,0.47515656,1.232975691,0,0.28955059,2,83
MTQ,0.214884234,0.971515453,0.213486218,0.40607064,0.006548506,1.392478936,1,45
COK,1.223755237,1.43918453,0.694315325,0.696130387,0.762535253,1.067406562,2,12
BHS,6.966077178,13.59487794,3.670146637,5.44118701,0.898037835,1.498513268,14,139
LBR,0.406725469,0.967205298,0.406726571,0.481536424,0,1.008581802,1,25
COL,2.10653914,6.384506667,1.806083793,5.303567778,0.166357368,0.203813533,7,292
BLM,0.370011025,0.906295806,0.326486218,0.326770419,0.133312847,1.773494028,1,28
ARG,4.302336273,7.760880979,2.715416759,5.33068743,0.584411033,0.455887459,8,93
SGP,0.004961411,0.991839956,0.004961411,0.934391832,4.95556E-08,0.061481834,1,243
MHL,1.556732084,2.863327434,1.041472988,1.044358407,0.49474072,1.741709565,3,47
COM,1.07400882,1.94440221,0.776019846,1.213573481,0.38399659,0.602212178,2,30
GGY,1.804415656,1.849801105,0.301102536,0.30798232,4.99269498,5.006192514,2,4
USA,10.13258324,36.45895737,8.635436604,36.09002765,0.173372431,0.010222484,39,1269
OMN,1.312767365,2.477488938,0.518142227,1.779337389,1.533604282,0.392366031,3,112
ATG,0.348511577,0.913128035,0.326486218,0.32689404,0.067461833,1.793345621,1,30
MYS,4.804125689,12.80831544,3.207276736,12.21357271,0.497883122,0.04869523,13,441
GMB,0.265159868,0.978271523,0.264627343,0.510874172,0.002012357,0.914897203,1,38
DJI,0.182359427,0.94635872,0.182463065,0.561610375,0,0.68508055,1,50
ALB,0.469169791,0.952121413,0.370497244,0.373119205,0.266324644,1.551788812,1,20
KHM,0.414146637,0.9431766,0.297090408,0.297486755,0.39400878,2.170482667,1,24
ECU,2.562407938,4.312028825,1.022572216,3.211258315,1.505845453,0.342784791,5,85
TUV,0.608768467,0.615477925,0.347157663,0.347421634,0.75357923,0.771559007,1,5
BHR,0.37045204,0.959261589,0.370542448,0.407466887,0,1.354207471,1,28
COD,2.230862183,2.885681416,1.158595369,1.162012168,0.925488607,1.483348708,3,17
GAB,1.124684675,1.367790055,0.710280044,0.734238674,0.583438369,0.862868443,2,30
BRA,5.418523705,16.73428427,4.667461963,13.59923596,0.160914379,0.230531209,17,443
URY,1.863961411,2.915356195,0.932981257,2.044566372,0.997855152,0.425904404,3,62
TUR,3.234486218,12.91340604,2.284200662,12.67404027,0.416025427,0.018886303,13,542
VGB,0.370562293,0.920626932,0.326486218,0.32693819,0.135001335,1.815905146,1,28
PRI,0.276074972,0.956448124,0.279011025,0.348711921,0,1.742803059,1,37
SLB,0.839725469,1.934937017,0.525815877,0.984746961,0.59699527,0.964907832,2,59
KWT,1.531060639,1.894848619,0.772396913,0.773796685,0.98222004,1.448768075,2,12
ERI,0.891380375,0.924357616,0.453453142,0.453727373,0.96576072,1.037253362,1,3
SAU,0.695538037,3.88951495,0.630420066,3.118910299,0.103292987,0.247074964,4,223
FSM,1.969994487,3.300542636,1.38863065,1.394334441,0.418659805,1.36710974,4,58
BEL,1.13576516,2.677587389,0.787063947,2.328065265,0.44304051,0.150134161,3,266
PHL,7.160094818,20.99247458,5.774314223,13.34002938,0.239990507,0.573645303,22,201
WSM,0.309812569,0.954930464,0.309277839,0.493233996,0.001728963,0.936059703,1,33
IRL,1.683616318,2.912167035,1.163428886,1.944102876,0.447115795,0.497949039,3,42
BEN,0.133296582,0.563827815,0.135113561,0.552952539,0,0.019667647,1,59
GNB,0.580910695,0.954735099,0.322636163,0.350231788,0.800513275,1.726009266,1,14
GUM,0.425819184,0.945573951,0.347157663,0.347527594,0.22658731,1.720860063,1,23
POL,1.049115766,2.952676991,0.879102536,2.726684735,0.193394085,0.082881696,3,102
